Cases, Merge Time, Merge Swaps, Merge Comps, Quick Time, Quick Swaps, Quick Comps, Insertion Time, Insertion Swaps, Insertion Comps, Selection Time, Selection Swaps, Selection Comps
100, 0.000000, 672, 273, 0.000000, 169, 760, 0.000000, 2459, 2360, 0.000000, 100, 5050
200, 0.000000, 1544, 646, 0.000000, 366, 1738, 0.000000, 10310, 10111, 0.000000, 200, 20100
300, 0.000000, 2488, 1090, 0.000000, 589, 2880, 0.000000, 22273, 21974, 0.000000, 300, 45150
400, 0.000000, 3488, 1491, 0.000000, 847, 4151, 0.001000, 40026, 39627, 0.000000, 400, 80200
500, 0.000000, 4488, 1970, 0.000000, 1064, 5060, 0.000000, 62919, 62420, 0.000000, 500, 125250
600, 0.000000, 5576, 2479, 0.000000, 1347, 6567, 0.001000, 91164, 90565, 0.000000, 600, 180300
700, 0.000000, 6676, 2970, 0.000000, 1619, 7597, 0.000000, 121536, 120837, 0.001000, 700, 245350
800, 0.000000, 7776, 3420, 0.000000, 1806, 10392, 0.000000, 160507, 159708, 0.001000, 800, 320400
900, 0.000000, 8876, 3953, 0.000000, 2108, 11489, 0.001000, 200264, 199365, 0.000000, 900, 405450
1000, 0.000000, 9976, 4452, 0.000000, 2398, 12313, 0.001000, 249144, 248145, 0.000000, 1000, 500500
1100, 0.000000, 11152, 5009, 0.000000, 2646, 13741, 0.000000, 299307, 298208, 0.001000, 1100, 605550
1200, 0.000000, 12352, 5571, 0.000000, 2891, 14765, 0.001000, 358289, 357090, 0.002000, 1200, 720600
1300, 0.000000, 13552, 6088, 0.000000, 3186, 16953, 0.001000, 420023, 418724, 0.001000, 1300, 845650
1400, 0.000000, 14752, 6650, 0.000000, 3570, 17399, 0.001000, 491874, 490475, 0.001000, 1400, 980700
1500, 0.000000, 15952, 7133, 0.000000, 3749, 20213, 0.001000, 563816, 562317, 0.002000, 1500, 1125750
1600, 0.001000, 17152, 7678, 0.000000, 4056, 20438, 0.001000, 647321, 645722, 0.002000, 1600, 1280800
1700, 0.001000, 18352, 8273, 0.000000, 4327, 23330, 0.002000, 733142, 731443, 0.002000, 1700, 1445850
1800, 0.000000, 19552, 8760, 0.000000, 4649, 23970, 0.001000, 823108, 821309, 0.004000, 1800, 1620900
1900, 0.001000, 20752, 9327, 0.000000, 4956, 25765, 0.002000, 917356, 915457, 0.003000, 1900, 1805950
2000, 0.000000, 21952, 9832, 0.000000, 5403, 25713, 0.003000, 1009741, 1007742, 0.005000, 2000, 2001000
2100, 0.000000, 23204, 10384, 0.000000, 5552, 29667, 0.003000, 1103369, 1101270, 0.004000, 2100, 2206050
2200, 0.000000, 24504, 11063, 0.000000, 5896, 29911, 0.004000, 1203891, 1201692, 0.005000, 2200, 2421100
2300, 0.001000, 25804, 11659, 0.000000, 6132, 32507, 0.004000, 1312308, 1310009, 0.005000, 2300, 2646150
