Cases, Merge Time, Merge Swaps, Merge Comps, Quick Time, Quick Swaps, Quick Comps
100,0,672,273,0,169,760
200,0,1544,646,0,366,1738
300,0,2488,1090,0,589,2880
400,0,3488,1491,0,847,4151
500,0,4488,1970,0,1064,5060
600,0,5576,2479,0,1347,6567
700,0,6676,2970,0,1619,7597
800,0,7776,3420,0.001,1806,10392
900,0,8876,3953,0,2108,11489
1000,0,9976,4452,0,2398,12313
1100,0.001,11152,5009,0,2646,13741
1200,0,12352,5571,0,2891,14765
1300,0,13552,6088,0.001,3186,16953
1400,0,14752,6650,0,3570,17399
1500,0,15952,7133,0,3749,20213
1600,0,17152,7678,0,4056,20438
1700,0,18352,8273,0,4327,23330
1800,0.001,19552,8760,0,4649,23970
1900,0,20752,9327,0,4956,25765
2000,0,21952,9832,0.001,5403,25713
2100,0,23204,10384,0,5552,29667
2200,0,24504,11063,0,5896,29911
2300,0,25804,11659,0,6132,32507
2400,0,27104,12351,0,6466,32825
2500,0,28404,12788,0.002,6812,35622
2600,0,29704,13475,0.001,7076,36667
2700,0.001,31004,14051,0,7374,37781
2800,0.001,32304,14686,0,7796,38771
2900,0,33604,15249,0,7919,42657
3000,0.001,34904,15820,0,8269,43251
3100,0,36204,16275,0,8558,45392
3200,0,37504,16931,0.001,8804,49032
3300,0,38804,17484,0,9271,45459
3400,0,40104,18204,0.001,9569,51186
3500,0.001,41404,18825,0,9789,52881
3600,0,42704,19258,0.001,10167,51954
3700,0,44004,19960,0,10303,57846
3800,0.001,45304,20541,0,10797,56799
3900,0,46604,21039,0.001,11091,59611
4000,0,47904,21590,0.001,11391,58633
4100,0,49208,22095,0.001,11736,59729
4200,0.001,50608,22849,0,12083,63294
4300,0,52008,23528,0.001,12346,64929
4400,0,53408,24250,0.001,12482,72609
4500,0,54808,24913,0.001,12728,72231
4600,0,56208,25572,0.001,13035,75067
4700,0,57608,26285,0.001,13336,79072
4800,0,59008,26964,0.001,13756,77672
4900,0.001,60408,27559,0,14134,78362
5000,0.001,61808,28130,0,14459,80589
5100,0,63208,28680,0.001,14877,78969
5200,0.001,64608,29446,0,15278,78610
5300,0.001,66008,30186,0,15330,85560
5400,0.001,67408,30698,0,15877,84312
5500,0.001,68808,31406,0,16246,83413
5600,0,70208,32015,0.001,16546,87884
5700,0,71608,32646,0.001,16842,89059
5800,0.001,73008,33346,0.001,17081,96125
5900,0.001,74408,33823,0.001,17460,91408
6000,0,75808,34478,0.001,18003,91420
6100,0.001,77208,34937,0,18244,94232
6200,0.001,78608,35613,0,18676,96582
6300,0.001,80008,36343,0,18635,101907
6400,0.001,81408,36968,0.001,19197,100096
6500,0.001,82808,37811,0.001,19394,111492
6600,0.001,84208,38366,0,20140,105776
6700,0.001,85608,39040,0.001,20107,109267
6800,0.001,87008,39732,0,20626,108440
6900,0.001,88408,40382,0.001,20840,111399
7000,0.001,89808,41038,0.001,21180,113031
7100,0.001,91208,41438,0,21588,114239
7200,0.001,92608,42103,0.001,22109,113826
7300,0.001,94008,42871,0,22043,120637
7400,0,95408,43491,0.001,22590,119543
7500,0.001,96808,44201,0.001,22822,124002
7600,0,98208,44764,0.001,23068,131388
7700,0.001,99608,45246,0.001,23476,126107
7800,0.001,101008,45954,0,23915,129849
7900,0.001,102408,46564,0.001,24317,130697
8000,0.001,103808,47129,0,24210,135442
8100,0.001,105208,47626,0.001,24523,142674
8200,0.001,106616,48176,0.001,25283,139563
8300,0.001,108116,48983,0,25797,135295
8400,0.001,109616,49719,0.001,25814,141061
8500,0.001,111116,50603,0.001,26197,143022
8600,0.001,112616,51351,0.001,26486,144547
8700,0.001,114116,51871,0,26808,145648
8800,0,115616,52794,0.001,27468,147004
8900,0.001,117116,53719,0.001,27735,145716
9000,0.001,118616,54232,0.001,27578,157007
9100,0.001,120116,54907,0.001,28141,157663
9200,0.001,121616,55666,0.001,28445,159089
9300,0.002,123116,56299,0,28855,161031
9400,0.002,124616,57232,0.001,29043,163824
9500,0.002,126116,57888,0.001,29156,175914
9600,0.001,127616,58611,0.001,30119,158679
9700,0.001,129116,59047,0.001,30475,165989
9800,0.001,130616,59947,0.001,30428,174770
