Cases, Selection, Insertion
100, 0.000000, 0.000000
200, 0.000000, 0.000000
300, 0.000000, 0.000000
400, 0.000000, 0.000000
500, 0.000000, 0.000000
600, 0.001000, 0.000000
700, 0.000000, 0.000000
800, 0.000000, 0.000000
900, 0.000000, 0.000000
1000, 0.001000, 0.000000
1100, 0.001000, 0.000000
1200, 0.000000, 0.001000
1300, 0.001000, 0.001000
1400, 0.001000, 0.001000
1500, 0.001000, 0.001000
1600, 0.001000, 0.001000
1700, 0.001000, 0.002000
1800, 0.002000, 0.002000
1900, 0.002000, 0.001000
2000, 0.002000, 0.002000
2100, 0.002000, 0.002000
2200, 0.003000, 0.002000
2300, 0.003000, 0.003000
2400, 0.003000, 0.005000
2500, 0.004000, 0.004000
2600, 0.005000, 0.003000
2700, 0.006000, 0.004000
2800, 0.005000, 0.005000
2900, 0.007000, 0.004000
3000, 0.005000, 0.004000
3100, 0.005000, 0.006000
3200, 0.005000, 0.006000
3300, 0.007000, 0.006000
3400, 0.007000, 0.007000
3500, 0.008000, 0.007000
3600, 0.008000, 0.007000
3700, 0.009000, 0.008000
3800, 0.009000, 0.007000
3900, 0.008000, 0.008000
4000, 0.009000, 0.008000
4100, 0.010000, 0.008000
4200, 0.012000, 0.011000
4300, 0.012000, 0.011000
4400, 0.012000, 0.010000
4500, 0.011000, 0.010000
4600, 0.011000, 0.009000
4700, 0.010000, 0.009000
4800, 0.010000, 0.008000
4900, 0.010000, 0.009000
5000, 0.012000, 0.010000
5100, 0.012000, 0.011000
5200, 0.015000, 0.013000
5300, 0.017000, 0.014000
5400, 0.017000, 0.014000
5500, 0.017000, 0.014000
5600, 0.017000, 0.015000
5700, 0.018000, 0.015000
5800, 0.018000, 0.016000
5900, 0.019000, 0.016000
6000, 0.018000, 0.014000
6100, 0.017000, 0.015000
6200, 0.017000, 0.014000
6300, 0.017000, 0.014000
6400, 0.017000, 0.015000
6500, 0.018000, 0.015000
6600, 0.018000, 0.015000
6700, 0.018000, 0.017000
6800, 0.020000, 0.017000
6900, 0.020000, 0.017000
7000, 0.023000, 0.018000
7100, 0.025000, 0.022000
7200, 0.026000, 0.022000
7300, 0.027000, 0.023000
7400, 0.028000, 0.024000
7500, 0.029000, 0.025000
7600, 0.030000, 0.025000
7700, 0.030000, 0.026000
7800, 0.031000, 0.027000
7900, 0.033000, 0.027000
8000, 0.038000, 0.040000
8100, 0.031000, 0.025000
8200, 0.029000, 0.024000
8300, 0.028000, 0.025000
8400, 0.030000, 0.025000
8500, 0.029000, 0.026000
8600, 0.030000, 0.027000
8700, 0.032000, 0.027000
8800, 0.032000, 0.028000
8900, 0.033000, 0.028000
9000, 0.038000, 0.029000
9100, 0.034000, 0.030000
9200, 0.036000, 0.030000
9300, 0.035000, 0.031000
9400, 0.036000, 0.031000
9500, 0.037000, 0.033000
9600, 0.040000, 0.033000
9700, 0.038000, 0.034000
9800, 0.040000, 0.034000
9900, 0.040000, 0.041000
10000, 0.046000, 0.037000
10100, 0.043000, 0.036000
10200, 0.043000, 0.038000
10300, 0.043000, 0.038000
10400, 0.045000, 0.039000
10500, 0.046000, 0.039000
10600, 0.048000, 0.040000
10700, 0.048000, 0.041000
10800, 0.049000, 0.042000
10900, 0.052000, 0.050000
11000, 0.055000, 0.044000
11100, 0.052000, 0.044000
11200, 0.053000, 0.045000
11300, 0.053000, 0.044000
11400, 0.054000, 0.049000
11500, 0.064000, 0.057000
11600, 0.065000, 0.049000
11700, 0.057000, 0.048000
11800, 0.057000, 0.050000
11900, 0.059000, 0.055000
12000, 0.066000, 0.053000
12100, 0.061000, 0.052000
12200, 0.060000, 0.053000
12300, 0.063000, 0.053000
12400, 0.063000, 0.055000
12500, 0.065000, 0.055000
12600, 0.066000, 0.056000
12700, 0.074000, 0.072000
12800, 0.085000, 0.074000
12900, 0.088000, 0.075000
13000, 0.103000, 0.083000
13100, 0.090000, 0.076000
13200, 0.089000, 0.077000
13300, 0.091000, 0.079000
13400, 0.092000, 0.080000
13500, 0.086000, 0.066000
13600, 0.079000, 0.065000
